Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Hydrological,Mass movement (wet),Landslide (wet),ECU,Ecuador,Latin America and the Caribbean,Americas,,,2013,10
Geophysical,Mass movement (dry),Landslide (dry),CHN,China,Eastern Asia,Asia,,,2013,46
Hydrological,Flood,Flash flood,PHL,Philippines,South-eastern Asia,Asia,,,2013,10
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,4.927,95.907,2013,1
Hydrological,Mass movement (wet),Landslide (wet),IDN,Indonesia,South-eastern Asia,Asia,,,2013,21
Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",AUS,Australia,Australia and New Zealand,Oceania,,,2013,1
Hydrological,Flood,Riverine flood,ZWE,Zimbabwe,Sub-Saharan Africa,Africa,,,2013,125
Meteorological,Storm,Tropical cyclone,MDG,Madagascar,Sub-Saharan Africa,Africa,,,2013,9
Meteorological,Storm,Tropical cyclone,SYC,Seychelles,Sub-Saharan Africa,Africa,,,2013,
Meteorological,Extreme temperature,Severe winter conditions,TJK,Tajikistan,Central Asia,Asia,,,2013,
Hydrological,Flood,Riverine flood,PNG,Papua New Guinea,Melanesia,Oceania,,,2013,
Geophysical,Earthquake,Tsunami,SLB,Solomon Islands,Melanesia,Oceania,-10.799,165.114,2013,10
Climatological,Wildfire,Wildfire (General),SLE,Sierra Leone,Sub-Saharan Africa,Africa,,,2013,
Hydrological,Flood,Riverine flood,BWA,Botswana,Sub-Saharan Africa,Africa,,,2013,12
Meteorological,Storm,Tropical cyclone,MDG,Madagascar,Sub-Saharan Africa,Africa,,,2013,42
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,-0.86702,121.88,2013,8
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2013,1
Hydrological,Flood,Riverine flood,LKA,Sri Lanka,Southern Asia,Asia,7.59777,80.92,2013,52
Hydrological,Flood,Riverine flood,PSE,State of Palestine,Western Asia,Asia,32.83,36.45,2013,5
Meteorological,Storm,Blizzard/Winter storm,JPN,Japan,Eastern Asia,Asia,,,2013,2
Biological,Epidemic,Bacterial disease,MOZ,Mozambique,Sub-Saharan Africa,Africa,,,2013,2
Meteorological,Storm,Blizzard/Winter storm,USA,United States of America,Northern America,Americas,,,2013,15
Meteorological,Storm,Blizzard/Winter storm,USA,United States of America,Northern America,Americas,,,2013,1
Hydrological,Flood,Riverine flood,PER,Peru,Latin America and the Caribbean,Americas,-20.3461,-69.09,2013,67
Hydrological,Flood,Riverine flood,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,,,2013,25
Geophysical,Earthquake,Ground movement,COL,Colombia,Latin America and the Caribbean,Americas,1.135,-77.393,2013,
Extra-terrestrial,Impact,Collision,RUS,Russian Federation,Eastern Europe,Europe,,,2013,
Hydrological,Flood,Riverine flood,MKD,North Macedonia,Southern Europe,Europe,42.0408,21.58,2013,1
Hydrological,Flood,Riverine flood,SRB,Serbia,Southern Europe,Europe,,,2013,
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,1.0256,124.51,2013,17
Meteorological,Storm,Blizzard/Winter storm,CHN,China,Eastern Asia,Asia,,,2013,2
Hydrological,Flood,Riverine flood,PAK,Pakistan,Southern Asia,Asia,,,2013,34
Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,,,2013,30
Meteorological,Storm,Severe weather,CAF,Central African Republic,Sub-Saharan Africa,Africa,,,2013,
Hydrological,Flood,Flash flood,MUS,Mauritius,Sub-Saharan Africa,Africa,-20.2305,57.52,2013,11
Meteorological,Storm,Blizzard/Winter storm,JPN,Japan,Eastern Asia,Asia,,,2013,9
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,25.98,99.812,2013,
Meteorological,Storm,Lightning/Thunderstorms,CHN,China,Eastern Asia,Asia,,,2013,25
Meteorological,Storm,Severe weather,BGD,Bangladesh,Southern Asia,Asia,,,2013,31
Hydrological,Mass movement (wet),Landslide (wet),IDN,Indonesia,South-eastern Asia,Asia,,,2013,13
Meteorological,Storm,Lightning/Thunderstorms,CHN,China,Eastern Asia,Asia,,,2013,3
Meteorological,Storm,Tornado,BGD,Bangladesh,Southern Asia,Asia,,,2013,2
Meteorological,Storm,Tornado,IND,India,Southern Asia,Asia,,,2013,9
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,28.428,51.593,2013,37
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,28.033,61.996,2013,
Geophysical,Earthquake,Ground movement,PAK,Pakistan,Southern Asia,Asia,28.033,61.996,2013,41
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,30.308,102.888,2013,198
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,2013,4
Meteorological,Storm,Severe weather,USA,United States of America,Northern America,Americas,,,2013,3
Hydrological,Flood,Riverine flood,ARG,Argentina,Latin America and the Caribbean,Americas,-34.4809,-58.68,2013,52
Hydrological,Mass movement (wet),Landslide (wet),ECU,Ecuador,Latin America and the Caribbean,Americas,,,2013,14
Geophysical,Earthquake,Ground movement,HUN,Hungary,Eastern Europe,Europe,47.624,20.227,2013,
Hydrological,Flood,Riverine flood,GHA,Ghana,Sub-Saharan Africa,Africa,,,2013,5
Hydrological,Flood,Riverine flood,KEN,Kenya,Sub-Saharan Africa,Africa,2.46174,36.72,2013,96
Hydrological,Flood,Riverine flood,AGO,Angola,Sub-Saharan Africa,Africa,,,2013,9
Hydrological,Flood,Riverine flood,ETH,Ethiopia,Sub-Saharan Africa,Africa,,,2013,
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,,,2013,11
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,34.369,134.828,2013,
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,,,2013,17
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,2013,8
Meteorological,Storm,Tropical cyclone,LKA,Sri Lanka,Southern Asia,Asia,,,2013,7
Biological,Epidemic,Bacterial disease,UGA,Uganda,Sub-Saharan Africa,Africa,,,2013,7
Geophysical,Earthquake,Ground movement,IND,India,Southern Asia,Asia,33.061,75.863,2013,3
Biological,Epidemic,Viral disease,CAF,Central African Republic,Sub-Saharan Africa,Africa,,,2013,
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,2013,29
Hydrological,Flood,Riverine flood,AFG,Afghanistan,Southern Asia,Asia,,,2013,10
Geophysical,Earthquake,Ground movement,AFG,Afghanistan,Southern Asia,Asia,34.526,70.22,2013,18
Meteorological,Storm,Severe weather,PRT,Portugal,Southern Europe,Europe,,,2013,1
Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,,,2013,24
Hydrological,Mass movement (wet),Landslide (wet),MMR,Myanmar,South-eastern Asia,Asia,,,2013,16
Meteorological,Extreme temperature,Cold wave,POL,Poland,Eastern Europe,Europe,,,2013,25
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,Asia,,,2013,83
Hydrological,Flood,Riverine flood,AFG,Afghanistan,Southern Asia,Asia,36.9291,68.85,2013,20
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,2013,6
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,2013,27
Hydrological,Flood,Riverine flood,BHS,Bahamas,Latin America and the Caribbean,Americas,,,2013,
Meteorological,Storm,Tropical cyclone,MEX,Mexico,Latin America and the Caribbean,Americas,,,2013,4
Hydrological,Flood,Riverine flood,CAN,Canada,Northern America,Americas,51.24,-109.64,2013,4
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,32.714,76.61,2013,6054
Meteorological,Storm,Severe weather,ARM,Armenia,Western Asia,Asia,,,2013,
Hydrological,Flood,Riverine flood,UGA,Uganda,Sub-Saharan Africa,Africa,,,2013,13
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2013,20
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,23.6387,114.46,2013,55
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2013,12
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2013,12
Hydrological,Flood,Riverine flood,AUT,Austria,Western Europe,Europe,,,2013,4
Hydrological,Flood,Riverine flood,CZE,Czechia,Eastern Europe,Europe,,,2013,15
Hydrological,Flood,Riverine flood,DEU,Germany,Western Europe,Europe,49.1358,12.11,2013,4
Hydrological,Flood,Riverine flood,HUN,Hungary,Eastern Europe,Europe,,,2013,
Hydrological,Flood,Riverine flood,SVK,Slovakia,Eastern Europe,Europe,,,2013,1
Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,23.789,121.141,2013,4
Meteorological,Extreme temperature,Heat wave,IND,India,Southern Asia,Asia,,,2013,557
Climatological,Wildfire,Forest fire,USA,United States of America,Northern America,Americas,,,2013,
Climatological,Wildfire,Forest fire,USA,United States of America,Northern America,Americas,,,2013,2
Meteorological,Storm,Lightning/Thunderstorms,USA,United States of America,Northern America,Americas,,,2013,4
Climatological,Wildfire,Forest fire,USA,United States of America,Northern America,Americas,,,2013,19
Hydrological,Flood,Riverine flood,HTI,Haiti,Latin America and the Caribbean,Americas,,,2013,6
Hydrological,Flood,Riverine flood,PRY,Paraguay,Latin America and the Caribbean,Americas,-24.146,-57.65,2013,
Hydrological,Flood,Flash flood,ESP,Spain,Southern Europe,Europe,,,2013,
Hydrological,Flood,Flash flood,FRA,France,Western Europe,Europe,,,2013,2
Meteorological,Storm,Lightning/Thunderstorms,CHE,Switzerland,Western Europe,Europe,,,2013,
Meteorological,Storm,Storm (General),ZAF,South Africa,Sub-Saharan Africa,Africa,,,2013,3
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2013,15
Hydrological,Flood,Riverine flood,LKA,Sri Lanka,Southern Asia,Asia,,,2013,58
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2013,11
Meteorological,Storm,Lightning/Thunderstorms,CHN,China,Eastern Asia,Asia,,,2013,11
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,4.645,96.665,2013,48
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,34.512,104.262,2013,95
Hydrological,Flood,Riverine flood,PRK,Democratic People's Republic of Korea,Eastern Asia,Asia,39.6151,126.32,2013,51
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,Asia,,,2013,17
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,2013,9
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,2013,3
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,,,2013,2
Hydrological,Flood,Riverine flood,GEO,Georgia,Western Asia,Asia,,,2013,
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2013,55
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,2013,7
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2013,7
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,30.4563,104.02,2013,233
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,,,2013,174
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,25.8633,118.14,2013,1
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2013,36
Hydrological,Flood,Riverine flood,MMR,Myanmar,South-eastern Asia,Asia,18.3122,98.16,2013,7
Hydrological,Flood,Riverine flood,THA,Thailand,South-eastern Asia,Asia,,,2013,
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2013,10
Hydrological,Flood,Riverine flood,JPN,Japan,Eastern Asia,Asia,,,2013,5
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,,,2013,5
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,,,2013,12
Geophysical,Earthquake,Ground movement,NZL,New Zealand,Australia and New Zealand,Oceania,-41.704,174.337,2013,
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,22.7696,113.69,2013,88
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2013,18
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,35.9161,100.18,2013,43
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,16.3191,121.14,2013,31
Hydrological,Flood,Riverine flood,PAK,Pakistan,Southern Asia,Asia,28.7404,69.11,2013,234
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,38.2138,-94.15,2013,3
Hydrological,Flood,Riverine flood,RUS,Russian Federation,Eastern Europe,Europe,50.0043,128.42,2013,
Hydrological,Flood,Riverine flood,AFG,Afghanistan,Southern Asia,Asia,,,2013,52
Hydrological,Flood,Riverine flood,SDN,Sudan,Northern Africa,Africa,13.6883,28.99,2013,76
Hydrological,Flood,Riverine flood,KEN,Kenya,Sub-Saharan Africa,Africa,1.66076,35.21,2013,
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,27.387,94.92,2013,80
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,28.899,-98.89,2013,3
Hydrological,Flood,Riverine flood,SOM,Somalia,Sub-Saharan Africa,Africa,2.16964,43.66,2013,7
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,38.8278,-88.64,2013,5
Hydrological,Flood,Riverine flood,RUS,Russian Federation,Eastern Europe,Europe,44.3289,39.25,2013,4
Hydrological,Flood,Riverine flood,KEN,Kenya,Sub-Saharan Africa,Africa,0.058024,36.52,2013,18
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,2013,
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,2013,2
Biological,Epidemic,Viral disease,GTM,Guatemala,Latin America and the Caribbean,Americas,,,2013,8
Hydrological,Flood,Flash flood,GEO,Georgia,Western Asia,Asia,,,2013,
Hydrological,Flood,Riverine flood,MLI,Mali,Sub-Saharan Africa,Africa,,,2013,37
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,28.2425,99.3502,2013,3
Climatological,Wildfire,Wildfire (General),USA,United States of America,Northern America,Americas,,,2013,
Meteorological,Extreme temperature,Heat wave,JPN,Japan,Eastern Asia,Asia,,,2013,338
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2013,118
Hydrological,Flood,Riverine flood,YEM,Yemen,Western Asia,Asia,,,2013,40
Meteorological,Storm,Tornado,JPN,Japan,Eastern Asia,Asia,,,2013,
Biological,Epidemic,Viral disease,ETH,Ethiopia,Sub-Saharan Africa,Africa,,,2013,55
Hydrological,Flood,Riverine flood,BFA,Burkina Faso,Sub-Saharan Africa,Africa,,,2013,2
Climatological,Wildfire,Forest fire,PRT,Portugal,Southern Europe,Europe,,,2013,9
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,,,2013,23
Meteorological,Storm,Lightning/Thunderstorms,USA,United States of America,Northern America,Americas,,,2013,
Meteorological,Storm,Tropical cyclone,MEX,Mexico,Latin America and the Caribbean,Americas,,,2013,14
Hydrological,Flood,Riverine flood,NER,Niger,Sub-Saharan Africa,Africa,,,2013,32
Hydrological,Flood,Riverine flood,LAO,Lao People's Democratic Republic,South-eastern Asia,Asia,,,2013,20
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2013,11
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,2013,
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,Asia,,,2013,7
Hydrological,Flood,Riverine flood,AFG,Afghanistan,Southern Asia,Asia,,,2013,31
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,,,2013,73
Hydrological,Flood,Riverine flood,ROU,Romania,Eastern Europe,Europe,45.749,27.553,2013,9
Hydrological,Flood,Riverine flood,MEX,Mexico,Latin America and the Caribbean,Americas,,,2013,13
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,38.002,-105.143,2013,9
Geophysical,Volcanic activity,Ash fall,PER,Peru,Latin America and the Caribbean,Americas,,,2013,
Meteorological,Extreme temperature,Severe winter conditions,PER,Peru,Latin America and the Caribbean,Americas,,,2013,1
Meteorological,Storm,Tropical cyclone,MEX,Mexico,Latin America and the Caribbean,Americas,,,2013,169
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,,,2013,
Meteorological,Extreme temperature,Heat wave,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,,,2013,18
Hydrological,Flood,Riverine flood,MLI,Mali,Sub-Saharan Africa,Africa,,,2013,
Biological,Epidemic,Viral disease,LAO,Lao People's Democratic Republic,South-eastern Asia,Asia,,,2013,77
Hydrological,Flood,Riverine flood,SEN,Senegal,Sub-Saharan Africa,Africa,,,2013,8
Hydrological,Flood,Riverine flood,NIC,Nicaragua,Latin America and the Caribbean,Americas,,,2013,27
Biological,Epidemic,Viral disease,ETH,Ethiopia,Sub-Saharan Africa,Africa,,,2013,55
Hydrological,Flood,Riverine flood,ECU,Ecuador,Latin America and the Caribbean,Americas,,,2013,
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,2013,20
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2013,5
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,2013,
Hydrological,Flood,Riverine flood,MRT,Mauritania,Sub-Saharan Africa,Africa,,,2013,8
Hydrological,Flood,Flash flood,BEN,Benin,Sub-Saharan Africa,Africa,,,2013,
Climatological,Wildfire,Wildfire (General),BEN,Benin,Sub-Saharan Africa,Africa,,,2013,1
Hydrological,Flood,Riverine flood,ZMB,Zambia,Sub-Saharan Africa,Africa,,,2013,
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2013,6
Hydrological,Flood,Flash flood,SRB,Serbia,Southern Europe,Europe,,,2013,
Hydrological,Flood,Riverine flood,KHM,Cambodia,South-eastern Asia,Asia,12.658,105.084,2013,200
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,,,2013,30
Geophysical,Earthquake,Ground movement,PAK,Pakistan,Southern Asia,Asia,26.951,65.5009,2013,399
Hydrological,Mass movement (wet),Landslide (wet),BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,,,2013,19
Hydrological,Flood,Riverine flood,GMB,Gambia,Sub-Saharan Africa,Africa,,,2013,2
Hydrological,Flood,Riverine flood,GIN,Guinea,Sub-Saharan Africa,Africa,,,2013,
Hydrological,Flood,Riverine flood,NGA,Nigeria,Sub-Saharan Africa,Africa,,,2013,19
Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,Asia,9.8796,124.1167,2013,230
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,2013,39
Meteorological,Storm,Extra-tropical storm,DEU,Germany,Western Europe,Europe,,,2013,7
Meteorological,Storm,Extra-tropical storm,DNK,Denmark,Northern Europe,Europe,,,2013,1
Meteorological,Storm,Extra-tropical storm,FRA,France,Western Europe,Europe,,,2013,1
Meteorological,Storm,Extra-tropical storm,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,2013,4
Meteorological,Storm,Extra-tropical storm,NLD,Netherlands (Kingdom of the),Western Europe,Europe,,,2013,2
Biological,Epidemic,Viral disease,ETH,Ethiopia,Sub-Saharan Africa,Africa,,,2013,
Biological,Epidemic,Viral disease,SSD,South Sudan,Sub-Saharan Africa,Africa,,,2013,
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,,,2013,72
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,2013,47
Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",AUS,Australia,Australia and New Zealand,Oceania,,,2013,2
Climatological,Wildfire,Wildfire (General),USA,United States of America,Northern America,Americas,,,2013,1
Geophysical,Earthquake,Ground movement,GTM,Guatemala,Latin America and the Caribbean,Americas,14.6056,-92.1207,2013,1
Meteorological,Storm,Tropical cyclone,MEX,Mexico,Latin America and the Caribbean,Americas,,,2013,23
Meteorological,Extreme temperature,Severe winter conditions,CHL,Chile,Latin America and the Caribbean,Americas,,,2013,
Meteorological,Storm,Storm (General),BRA,Brazil,Latin America and the Caribbean,Americas,,,2013,2
Meteorological,Storm,Storm (General),PRY,Paraguay,Latin America and the Caribbean,Americas,,,2013,
Geophysical,Earthquake,Ground movement,PER,Peru,Latin America and the Caribbean,Americas,-15.8385,-74.5112,2013,
Hydrological,Flood,Riverine flood,UKR,Ukraine,Eastern Europe,Europe,,,2013,2
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,,,2013,29
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,2013,1
Hydrological,Mass movement (wet),Landslide (wet),AFG,Afghanistan,Southern Asia,Asia,,,2013,24
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,2013,6
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,,,2013,17
Hydrological,Flood,Riverine flood,LAO,Lao People's Democratic Republic,South-eastern Asia,Asia,,,2013,3
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,,,2013,7
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2013,33
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,2013,74
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,Asia,,,2013,31
Hydrological,Flood,Riverine flood,SLB,Solomon Islands,Melanesia,Oceania,,,2013,
Meteorological,Storm,Storm (General),NZL,New Zealand,Australia and New Zealand,Oceania,,,2013,
Hydrological,Flood,Riverine flood,SSD,South Sudan,Sub-Saharan Africa,Africa,,,2013,1
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,2.954,99.677,2013,
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,2013,8
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,2013,
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2013,20
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,Asia,,,2013,20
Hydrological,Flood,Riverine flood,THA,Thailand,South-eastern Asia,Asia,13.082,101.694,2013,61
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,,,2013,5
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2013,7354
Meteorological,Storm,Tropical cyclone,PLW,Palau,Micronesia,Oceania,,,2013,
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,Asia,,,2013,16
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,Asia,,,2013,20
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,5.1033,95.9709,2013,1
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,2013,4
Meteorological,Storm,Tropical cyclone,SOM,Somalia,Sub-Saharan Africa,Africa,21.68,57.43,2013,162
Meteorological,Storm,Tornado,USA,United States of America,Northern America,Americas,,,2013,11
Hydrological,Flood,Riverine flood,ITA,Italy,Southern Europe,Europe,40.3,9.01,2013,18
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,Asia,15.58,107.7,2013,47
Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,27.41,44.81,2013,15
Hydrological,Flood,Riverine flood,SSD,South Sudan,Sub-Saharan Africa,Africa,,,2013,98
Hydrological,Flood,Riverine flood,NPL,Nepal,Southern Asia,Asia,,,2013,76
Biological,Epidemic,Bacterial disease,TGO,Togo,Sub-Saharan Africa,Africa,,,2013,7
Biological,Epidemic,Viral disease,UGA,Uganda,Sub-Saharan Africa,Africa,,,2013,2
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,44.5993,124.1681,2013,
Meteorological,Storm,Blizzard/Winter storm,USA,United States of America,Northern America,Americas,,,2013,14
Hydrological,Flood,Riverine flood,SOM,Somalia,Sub-Saharan Africa,Africa,,,2013,
Meteorological,Storm,Lightning/Thunderstorms,IND,India,Southern Asia,Asia,,,2013,32
Geophysical,Earthquake,Ground movement,PAK,Pakistan,Southern Asia,Asia,27.1825,65.5052,2013,22
Biological,Epidemic,Bacterial disease,BEN,Benin,Sub-Saharan Africa,Africa,,,2013,6
Hydrological,Flood,Flash flood,CMR,Cameroon,Sub-Saharan Africa,Africa,,,2013,
Hydrological,Flood,Riverine flood,CAF,Central African Republic,Sub-Saharan Africa,Africa,,,2013,
Biological,Epidemic,Viral disease,CRI,Costa Rica,Latin America and the Caribbean,Americas,,,2013,3
Biological,Epidemic,Viral disease,HND,Honduras,Latin America and the Caribbean,Americas,,,2013,27
Biological,Epidemic,Viral disease,NIC,Nicaragua,Latin America and the Caribbean,Americas,,,2013,3
Biological,Epidemic,Viral disease,COL,Colombia,Latin America and the Caribbean,Americas,,,2013,91
Meteorological,Storm,Blizzard/Winter storm,HUN,Hungary,Eastern Europe,Europe,,,2013,
Meteorological,Storm,Severe weather,GEO,Georgia,Western Asia,Asia,,,2013,
Hydrological,Flood,Riverine flood,IRQ,Iraq,Western Asia,Asia,,,2013,11
Biological,Epidemic,Bacterial disease,COG,Congo,Sub-Saharan Africa,Africa,,,2013,16
Biological,Epidemic,Viral disease,SLB,Solomon Islands,Melanesia,Oceania,,,2013,8
Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,30.66,-96.01,2013,4
Hydrological,Flood,Riverine flood,CUB,Cuba,Latin America and the Caribbean,Americas,22.9043,-81.4,2013,2
Hydrological,Flood,Riverine flood,COL,Colombia,Latin America and the Caribbean,Americas,,,2013,7
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,,,2013,10
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,29.32,51.31,2013,8
Meteorological,Storm,Extra-tropical storm,BEL,Belgium,Western Europe,Europe,,,2013,
Meteorological,Storm,Extra-tropical storm,DEU,Germany,Western Europe,Europe,,,2013,
Meteorological,Storm,Extra-tropical storm,DNK,Denmark,Northern Europe,Europe,,,2013,1
Meteorological,Storm,Extra-tropical storm,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,2013,2
Meteorological,Storm,Extra-tropical storm,NLD,Netherlands (Kingdom of the),Western Europe,Europe,,,2013,
Meteorological,Storm,Extra-tropical storm,POL,Poland,Eastern Europe,Europe,,,2013,4
Meteorological,Storm,Extra-tropical storm,SWE,Sweden,Northern Europe,Europe,,,2013,7
Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,,,2013,19
Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,,,2013,2
Meteorological,Storm,Blizzard/Winter storm,ISR,Israel,Western Asia,Asia,,,2013,4
Meteorological,Storm,Blizzard/Winter storm,PSE,State of Palestine,Western Asia,Asia,,,2013,1
